cell_id,lat,lon,lat_min,lon_min,land_frac
03755_01275,37.55,12.75,37.5,12.7,0.255
03755_01285,37.55,12.85,37.5,12.8,0.1916
03755_01295,37.55,12.95,37.5,12.9,0.3717
03755_01305,37.55,13.05,37.5,13.0,0.9531
03755_01315,37.55,13.15,37.5,13.1,0.9995
03755_01325,37.55,13.25,37.5,13.2,1.0
03755_01335,37.55,13.35,37.5,13.3,1.0
03755_01345,37.55,13.45,37.5,13.4,1.0
03755_01355,37.55,13.55,37.5,13.5,1.0
03755_01365,37.55,13.65,37.5,13.6,1.0
03755_01375,37.55,13.75,37.5,13.7,1.0
03755_01385,37.55,13.85,37.5,13.8,1.0
03755_01395,37.55,13.95,37.5,13.9,1.0
03755_01405,37.55,14.05,37.5,14.0,1.0
03755_01415,37.55,14.15,37.5,14.1,1.0
03755_01425,37.55,14.25,37.5,14.2,1.0
03755_01435,37.55,14.35,37.5,14.3,1.0
03755_01445,37.55,14.45,37.5,14.4,1.0
03755_01455,37.55,14.55,37.5,14.5,1.0
03755_01465,37.55,14.65,37.5,14.6,1.0
03755_01475,37.55,14.75,37.5,14.7,1.0
03755_01485,37.55,14.85,37.5,14.8,1.0
03755_01495,37.55,14.95,37.5,14.9,1.0
03755_01505,37.55,15.05,37.5,15.0,0.9993
03755_01515,37.55,15.15,37.5,15.1,0.4315
03765_01255,37.65,12.55,37.6,12.5,0.405
03765_01265,37.65,12.65,37.6,12.6,0.9215
03765_01275,37.65,12.75,37.6,12.7,1.0
03765_01285,37.65,12.85,37.6,12.8,1.0
03765_01295,37.65,12.95,37.6,12.9,1.0
03765_01305,37.65,13.05,37.6,13.0,1.0
03765_01315,37.65,13.15,37.6,13.1,1.0
03765_01325,37.65,13.25,37.6,13.2,1.0
03765_01335,37.65,13.35,37.6,13.3,1.0
03765_01345,37.65,13.45,37.6,13.4,1.0
03765_01355,37.65,13.55,37.6,13.5,1.0
03765_01365,37.65,13.65,37.6,13.6,1.0
03765_01375,37.65,13.75,37.6,13.7,1.0
03765_01385,37.65,13.85,37.6,13.8,1.0
03765_01395,37.65,13.95,37.6,13.9,1.0
03765_01405,37.65,14.05,37.6,14.0,1.0
03765_01415,37.65,14.15,37.6,14.1,1.0
03765_01425,37.65,14.25,37.6,14.2,1.0
03765_01435,37.65,14.35,37.6,14.3,1.0
03765_01445,37.65,14.45,37.6,14.4,1.0
03765_01455,37.65,14.55,37.6,14.5,1.0
03765_01465,37.65,14.65,37.6,14.6,1.0
03765_01475,37.65,14.75,37.6,14.7,1.0
03765_01485,37.65,14.85,37.6,14.8,1.0
03765_01495,37.65,14.95,37.6,14.9,1.0
03765_01505,37.65,15.05,37.6,15.0,1.0
03765_01515,37.65,15.15,37.6,15.1,0.8829
03775_01245,37.75,12.45,37.7,12.4,0.3916
03775_01255,37.75,12.55,37.7,12.5,1.0
03775_01265,37.75,12.65,37.7,12.6,1.0
03775_01275,37.75,12.75,37.7,12.7,1.0
03775_01285,37.75,12.85,37.7,12.8,1.0
03775_01295,37.75,12.95,37.7,12.9,1.0
03775_01305,37.75,13.05,37.7,13.0,1.0
03775_01315,37.75,13.15,37.7,13.1,1.0
03775_01325,37.75,13.25,37.7,13.2,1.0
03775_01335,37.75,13.35,37.7,13.3,1.0
03775_01345,37.75,13.45,37.7,13.4,1.0
03775_01355,37.75,13.55,37.7,13.5,1.0
03775_01365,37.75,13.65,37.7,13.6,1.0
03775_01375,37.75,13.75,37.7,13.7,1.0
03775_01385,37.75,13.85,37.7,13.8,1.0
03775_01395,37.75,13.95,37.7,13.9,1.0
03775_01405,37.75,14.05,37.7,14.0,1.0
03775_01415,37.75,14.15,37.7,14.1,1.0
03775_01425,37.75,14.25,37.7,14.2,1.0
03775_01435,37.75,14.35,37.7,14.3,1.0
03775_01445,37.75,14.45,37.7,14.4,1.0
03775_01455,37.75,14.55,37.7,14.5,1.0
03775_01465,37.75,14.65,37.7,14.6,1.0
03775_01475,37.75,14.75,37.7,14.7,1.0
03775_01485,37.75,14.85,37.7,14.8,1.0
03775_01495,37.75,14.95,37.7,14.9,1.0
03775_01505,37.75,15.05,37.7,15.0,1.0
03775_01515,37.75,15.15,37.7,15.1,1.0
