cell_id,parent_id,lat,lon,lat_min,lon_min,land_frac
037112_014838,03715_01485,37.1125,14.8375,37.1,14.825,1.0
037112_014862,03715_01485,37.1125,14.8625,37.1,14.85,1.0
037112_014888,03715_01485,37.1125,14.8875,37.1,14.875,1.0
037112_014912,03715_01495,37.1125,14.9125,37.1,14.9,1.0
037112_014938,03715_01495,37.1125,14.9375,37.1,14.925,1.0
037112_014962,03715_01495,37.1125,14.9625,37.1,14.95,1.0
037112_014988,03715_01495,37.1125,14.9875,37.1,14.975,1.0
037112_015012,03715_01505,37.1125,15.0125,37.1,15.0,1.0
037112_015038,03715_01505,37.1125,15.0375,37.1,15.025,1.0
037112_015062,03715_01505,37.1125,15.0625,37.1,15.05,1.0
037112_015088,03715_01505,37.1125,15.0875,37.1,15.075,1.0
037138_014412,03715_01445,37.1375,14.4125,37.125,14.4,1.0
037138_014438,03715_01445,37.1375,14.4375,37.125,14.425,1.0
037138_014462,03715_01445,37.1375,14.4625,37.125,14.45,1.0
037138_014488,03715_01445,37.1375,14.4875,37.125,14.475,1.0
037138_014512,03715_01455,37.1375,14.5125,37.125,14.5,1.0
037138_014538,03715_01455,37.1375,14.5375,37.125,14.525,1.0
037138_014562,03715_01455,37.1375,14.5625,37.125,14.55,1.0
037138_014588,03715_01455,37.1375,14.5875,37.125,14.575,1.0
037138_014712,03715_01475,37.1375,14.7125,37.125,14.7,1.0
037138_014738,03715_01475,37.1375,14.7375,37.125,14.725,1.0
037138_014762,03715_01475,37.1375,14.7625,37.125,14.75,1.0
037138_014788,03715_01475,37.1375,14.7875,37.125,14.775,1.0
037138_014812,03715_01485,37.1375,14.8125,37.125,14.8,1.0
037138_014838,03715_01485,37.1375,14.8375,37.125,14.825,1.0
037138_014862,03715_01485,37.1375,14.8625,37.125,14.85,1.0
037138_014888,03715_01485,37.1375,14.8875,37.125,14.875,1.0
037138_014912,03715_01495,37.1375,14.9125,37.125,14.9,1.0
037138_014938,03715_01495,37.1375,14.9375,37.125,14.925,1.0
037138_014962,03715_01495,37.1375,14.9625,37.125,14.95,1.0
037138_014988,03715_01495,37.1375,14.9875,37.125,14.975,1.0
037138_015012,03715_01505,37.1375,15.0125,37.125,15.0,1.0
037138_015038,03715_01505,37.1375,15.0375,37.125,15.025,1.0
037138_015062,03715_01505,37.1375,15.0625,37.125,15.05,1.0
037138_015088,03715_01505,37.1375,15.0875,37.125,15.075,1.0
037162_014412,03715_01445,37.1625,14.4125,37.15,14.4,1.0
037162_014438,03715_01445,37.1625,14.4375,37.15,14.425,1.0
037162_014462,03715_01445,37.1625,14.4625,37.15,14.45,1.0
037162_014488,03715_01445,37.1625,14.4875,37.15,14.475,1.0
037162_014512,03715_01455,37.1625,14.5125,37.15,14.5,1.0
037162_014538,03715_01455,37.1625,14.5375,37.15,14.525,1.0
037162_014562,03715_01455,37.1625,14.5625,37.15,14.55,1.0
037162_014588,03715_01455,37.1625,14.5875,37.15,14.575,1.0
037162_014712,03715_01475,37.1625,14.7125,37.15,14.7,1.0
037162_014738,03715_01475,37.1625,14.7375,37.15,14.725,1.0
037162_014762,03715_01475,37.1625,14.7625,37.15,14.75,1.0
037162_014788,03715_01475,37.1625,14.7875,37.15,14.775,1.0
037162_014812,03715_01485,37.1625,14.8125,37.15,14.8,1.0
037162_014838,03715_01485,37.1625,14.8375,37.15,14.825,1.0
037162_014862,03715_01485,37.1625,14.8625,37.15,14.85,1.0
037162_014888,03715_01485,37.1625,14.8875,37.15,14.875,1.0
037162_014912,03715_01495,37.1625,14.9125,37.15,14.9,1.0
037162_014938,03715_01495,37.1625,14.9375,37.15,14.925,1.0
037162_014962,03715_01495,37.1625,14.9625,37.15,14.95,1.0
037162_014988,03715_01495,37.1625,14.9875,37.15,14.975,1.0
037162_015012,03715_01505,37.1625,15.0125,37.15,15.0,1.0
037162_015038,03715_01505,37.1625,15.0375,37.15,15.025,1.0
037162_015062,03715_01505,37.1625,15.0625,37.15,15.05,1.0
037162_015088,03715_01505,37.1625,15.0875,37.15,15.075,1.0
037188_014412,03715_01445,37.1875,14.4125,37.175,14.4,1.0
037188_014438,03715_01445,37.1875,14.4375,37.175,14.425,1.0
037188_014462,03715_01445,37.1875,14.4625,37.175,14.45,1.0
037188_014488,03715_01445,37.1875,14.4875,37.175,14.475,1.0
037188_014512,03715_01455,37.1875,14.5125,37.175,14.5,1.0
037188_014538,03715_01455,37.1875,14.5375,37.175,14.525,1.0
