cell_id,lat,lon,lat_min,lon_min,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente,qualita_bosco,macroregione,idoneita_quota,idoneita_ospite,attiva
03735_01445,37.35,14.45,37.3,14.4,1.0,0.03437,0.0,0.08542,0.01647,0.0,0.01342,0.0061,9834,1178,0.11979,14400,507.9,244.0,877.5,138.9,7.86,0.043,0.7273,0.2297,0.0,0.0,0.0,0.0,0.0497,0.0994,0.1914,0.1921,0.1687,0.1152,0.1113,0.0722,-0.2151,0.1579,0.8834,0.9643,mediterraneo,0.8486,0.8183,True
03745_01435,37.45,14.35,37.4,14.3,1.0,0.08196,0.35868,0.01833,0.02678,0.0,0.02667,0.00723,9822,4508,0.45897,14280,693.8,438.7,896.8,101.3,8.68,0.0,0.2128,0.7872,0.0,0.0,0.0,0.0,0.1404,0.1188,0.0968,0.0945,0.1126,0.1429,0.1266,0.1675,0.0654,-0.1014,0.8916,0.8026,appenninico,0.8755,0.7027,True
03745_01445,37.45,14.45,37.4,14.4,1.0,0.20711,0.01904,0.03788,0.01273,0.0,0.0337,0.00804,9821,2593,0.26403,14280,524.6,254.1,903.8,157.2,8.95,0.0306,0.68,0.2889,0.0005,0.0,0.0,0.0,0.171,0.1513,0.2211,0.1491,0.1119,0.0645,0.0302,0.1008,0.0872,0.2946,0.9035,0.9748,mediterraneo,0.8551,0.8336,True
03755_01385,37.55,13.85,37.5,13.8,1.0,0.12327,0.02916,0.0,0.00581,0.0,0.00153,0.0,9808,1495,0.15243,14400,396.9,185.6,812.7,121.7,9.49,0.2517,0.6879,0.0603,0.0,0.0,0.0,0.0,0.1092,0.0776,0.1016,0.1508,0.1179,0.1593,0.1562,0.1274,-0.0859,-0.0963,0.941,0.9522,mediterraneo,0.7774,0.7402,True
03755_01395,37.55,13.95,37.5,13.9,1.0,0.21972,0.08554,0.0,0.02447,0.0,0.00877,0.00704,9808,2994,0.30526,14400,435.0,230.2,846.8,130.1,8.88,0.1124,0.7619,0.1258,0.0,0.0,0.0,0.0,0.097,0.0827,0.1284,0.1628,0.1546,0.0983,0.1247,0.1517,-0.0807,-0.0032,0.925,0.9299,mediterraneo,0.8227,0.765,True
03755_01415,37.55,14.15,37.5,14.1,1.0,0.09982,0.09023,0.0,0.10899,0.0,0.04578,0.0,9808,1864,0.19005,14400,435.5,268.9,782.5,90.6,9.26,0.034,0.9226,0.0435,0.0,0.0,0.0,0.0,0.0913,0.1104,0.1255,0.1737,0.1191,0.1042,0.1555,0.1205,-0.0633,0.0119,0.8961,0.8813,mediterraneo,0.8421,0.7421,True
03765_01295,37.65,12.95,37.6,12.9,1.0,0.0,0.12689,0.0,0.0,0.0,0.00949,0.0,9796,1243,0.12689,14400,215.3,29.7,412.5,108.2,4.37,0.729,0.271,0.0,0.0,0.0,0.0,0.0,0.0594,0.0277,0.0777,0.1061,0.1594,0.2489,0.1945,0.1263,-0.2519,-0.296,0.5345,0.75,mediterraneo,0.6313,0.4735,True
03765_01315,37.65,13.15,37.6,13.1,1.0,0.05399,0.27026,0.0,0.04787,0.0,0.03848,0.0,9798,3177,0.32425,14400,573.0,196.7,1167.7,214.5,10.65,0.0735,0.5303,0.3181,0.078,0.0,0.0,0.0,0.1243,0.07,0.0484,0.1201,0.1661,0.1799,0.1413,0.15,-0.0946,-0.1998,0.9623,0.7916,mediterraneo,0.8243,0.6525,True
03765_01335,37.65,13.35,37.6,13.3,1.0,0.18707,0.06045,0.02441,0.01716,0.0,0.21597,0.01879,9793,2663,0.27193,14400,705.0,273.3,1352.1,196.5,13.79,0.0015,0.3449,0.4883,0.1565,0.0088,0.0,0.0,0.1247,0.0652,0.0856,0.133,0.173,0.121,0.1247,0.1728,-0.0598,-0.1101,0.9804,0.9399,appenninico,0.8352,0.785,True
03765_01345,37.65,13.45,37.6,13.4,1.0,0.02755,0.08521,0.0,0.00367,0.0,0.08001,0.00265,9799,1105,0.11276,14400,825.8,325.6,1426.7,226.5,12.72,0.0,0.1889,0.4035,0.3624,0.0453,0.0,0.0,0.1189,0.0925,0.0679,0.1463,0.1835,0.1477,0.1272,0.1158,-0.1306,-0.0818,0.9622,0.8111,appenninico,0.8976,0.728,True
