cell_id,lat,lon,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente
040462_009638,40.4625,9.6375,900,274.4,75.9,529.8,117.1,12.38,0.6022,0.3978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1276,0.3815,0.1811,0.2118,0.0979,0.0,-0.6225,0.1476,0.9756
040462_009662,40.4625,9.6625,900,222.7,70.8,537.0,105.2,11.66,0.7589,0.2411,0.0,0.0,0.0,0.0,0.0,0.028,0.0122,0.0438,0.3504,0.1995,0.0949,0.1472,0.1241,-0.4057,0.0004,0.9133
040462_009688,40.4625,9.6875,900,281.0,119.5,514.5,97.6,13.16,0.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0466,0.008,0.0307,0.175,0.1477,0.1011,0.1648,0.3261,-0.0686,-0.3128,0.9778
040462_009712,40.4625,9.7125,930,236.5,78.6,501.0,100.8,12.38,0.7538,0.2462,0.0,0.0,0.0,0.0,0.0,0.0701,0.2214,0.1646,0.238,0.1546,0.079,0.0434,0.0289,-0.1239,0.3814,0.9667
040462_009738,40.4625,9.7375,870,190.1,45.2,358.4,75.0,11.17,0.931,0.069,0.0,0.0,0.0,0.0,0.0,0.0168,0.0722,0.1853,0.1673,0.154,0.1865,0.1913,0.0265,-0.33,0.0142,0.9552
040462_009762,40.4625,9.7625,900,107.0,15.3,350.1,75.8,7.95,0.9867,0.0133,0.0,0.0,0.0,0.0,0.0,0.0092,0.06,0.3354,0.2446,0.0938,0.1277,0.1062,0.0231,-0.3131,0.3481,0.7222
040462_009788,40.4625,9.7875,900,35.6,-1.5,153.8,35.9,6.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.1275,0.2388,0.1257,0.1275,0.1724,0.1544,0.0359,-0.1901,0.1167,0.6189
040462_015012,40.4625,15.0125,900,22.3,12.3,30.3,3.6,0.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040462_015038,40.4625,15.0375,900,45.5,24.5,204.0,25.7,2.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0724,0.0498,0.0136,0.0,0.0045,0.4706,0.2262,0.1629,-0.0884,-0.6646,0.2456
040462_015062,40.4625,15.0625,900,81.1,41.4,310.3,47.8,5.52,0.9978,0.0022,0.0,0.0,0.0,0.0,0.0,0.4186,0.1882,0.0571,0.129,0.0254,0.0507,0.0254,0.1057,0.4893,0.1302,0.5256
040462_015088,40.4625,15.0875,900,91.0,35.3,334.2,70.0,6.47,0.9844,0.0156,0.0,0.0,0.0,0.0,0.0,0.657,0.095,0.0041,0.0145,0.0351,0.0496,0.0434,0.1012,0.7259,-0.0528,0.5378
040462_015112,40.4625,15.1125,900,128.8,47.6,354.6,64.5,8.87,0.9744,0.0256,0.0,0.0,0.0,0.0,0.0,0.3004,0.0305,0.0,0.0024,0.2198,0.2833,0.1123,0.0513,-0.0701,-0.3198,0.91
040462_015138,40.4625,15.1375,900,198.6,77.9,350.2,58.5,8.73,0.9578,0.0422,0.0,0.0,0.0,0.0,0.0,0.2857,0.0823,0.0366,0.032,0.2091,0.216,0.1074,0.0309,-0.0289,-0.1887,0.9722
040462_015162,40.4625,15.1625,900,291.1,140.0,439.2,64.7,8.46,0.5489,0.4511,0.0,0.0,0.0,0.0,0.0,0.0502,0.0639,0.0719,0.1062,0.1872,0.1952,0.1963,0.129,-0.217,-0.2361,0.9733
040462_015188,40.4625,15.1875,900,224.2,111.7,389.2,58.0,8.4,0.8656,0.1344,0.0,0.0,0.0,0.0,0.0,0.0805,0.1759,0.1782,0.2264,0.2264,0.0724,0.0345,0.0057,-0.2398,0.3914,0.9667
040462_015212,40.4625,15.2125,900,120.2,79.6,233.3,29.2,5.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.13,0.1685,0.1059,0.0417,0.1926,0.1252,0.1974,0.0169,-0.0686,0.6922
040462_015238,40.4625,15.2375,900,253.6,112.2,534.8,76.4,8.05,0.7644,0.2356,0.0,0.0,0.0,0.0,0.0,0.0654,0.0287,0.0,0.0,0.039,0.1193,0.4002,0.3475,0.2001,-0.7258,0.9689
040462_015262,40.4625,15.2625,900,447.0,212.7,687.5,122.4,10.53,0.1078,0.7244,0.1678,0.0,0.0,0.0,0.0,0.4318,0.0349,0.018,0.0135,0.0158,0.0834,0.1319,0.2706,0.5688,-0.3439,0.9856
040462_015288,40.4625,15.2875,900,520.0,342.8,818.6,78.4,12.54,0.0,0.8722,0.1278,0.0,0.0,0.0,0.0,0.0516,0.0695,0.157,0.1883,0.2197,0.1244,0.0874,0.102,-0.2636,0.0723,0.9911
040462_015312,40.4625,15.3125,900,538.7,217.1,913.4,223.0,15.16,0.1311,0.4956,0.3533,0.02,0.0,0.0,0.0,0.0,0.0157,0.1147,0.1564,0.4274,0.27,0.0079,0.0079,-0.7392,0.0157,0.9878
040462_015338,40.4625,15.3375,900,602.2,237.7,868.9,164.5,11.48,0.0467,0.3844,0.5689,0.0,0.0,0.0,0.0,0.0,0.0011,0.0317,0.1744,0.3952,0.2367,0.1178,0.043,-0.675,-0.1588,0.9811
040462_015362,40.4625,15.3625,900,701.0,441.8,893.4,81.8,8.52,0.0,0.07,0.93,0.0,0.0,0.0,0.0,0.0261,0.0047,0.0213,0.0616,0.2903,0.4182,0.109,0.0687,-0.5546,-0.3962,0.9378
040462_015388,40.4625,15.3875,900,899.5,672.0,1254.9,139.1,11.52,0.0,0.0,0.5578,0.43,0.0122,0.0,0.0,0.0169,0.0,0.0,0.0,0.1524,0.614,0.1501,0.0666,-0.5348,-0.639,0.9844
040462_015412,40.4625,15.4125,900,1183.9,819.9,1434.0,150.6,14.35,0.0,0.0,0.0522,0.3711,0.5767,0.0,0.0,0.0605,0.0672,0.0022,0.0067,0.1064,0.5588,0.159,0.0392,-0.3965,-0.5203,0.9922
040462_015438,40.4625,15.4375,900,1308.3,1052.0,1472.0,93.8,14.11,0.0,0.0,0.0,0.1711,0.8289,0.0,0.0,0.1501,0.2794,0.0739,0.0716,0.1039,0.1651,0.112,0.0439,0.1019,0.0562,0.9622
040462_015462,40.4625,15.4625,900,935.8,525.5,1368.1,195.7,21.84,0.0,0.0344,0.4156,0.4367,0.1133,0.0,0.0,0.0123,0.2408,0.3612,0.252,0.1249,0.0078,0.0,0.0011,-0.1395,0.7233,0.9967
040462_015488,40.4625,15.4875,900,470.3,441.7,766.1,54.5,5.83,0.0,0.9544,0.0456,0.0,0.0,0.0,0.0,0.1148,0.3344,0.3672,0.1541,0.0295,0.0,0.0,0.0,0.2344,0.7126,0.3389
040462_015512,40.4625,15.5125,900,442.6,440.8,446.5,0.6,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040462_015538,40.4625,15.5375,900,486.3,441.9,714.5,65.1,6.04,0.0,0.9022,0.0978,0.0,0.0,0.0,0.0,0.0163,0.0,0.0,0.0191,0.0981,0.3134,0.4578,0.0954,-0.2627,-0.7578,0.4078
040462_015562,40.4625,15.5625,900,719.0,529.9,953.5,83.3,11.06,0.0,0.0578,0.9233,0.0189,0.0,0.0,0.0,0.0826,0.0192,0.0124,0.0339,0.0633,0.3959,0.2376,0.155,-0.1607,-0.5922,0.9822
040462_015588,40.4625,15.5875,900,950.1,803.4,1254.8,90.7,10.55,0.0,0.0,0.2944,0.68,0.0256,0.0,0.0,0.1349,0.0542,0.0651,0.0663,0.1048,0.312,0.1458,0.1169,-0.123,-0.3029,0.9222
040462_015612,40.4625,15.6125,900,968.3,741.3,1229.2,109.8,15.48,0.0,0.0,0.3067,0.6856,0.0078,0.0,0.0,0.1852,0.0976,0.3389,0.0718,0.0426,0.092,0.0539,0.1178,0.197,0.2446,0.99
040462_015638,40.4625,15.6375,900,828.5,679.2,1151.3,105.4,11.47,0.0,0.0,0.7811,0.2189,0.0,0.0,0.0,0.2562,0.4286,0.1122,0.0035,0.0331,0.0968,0.0283,0.0413,0.4986,0.3002,0.9411
